Drug1,Drug2,Loewe
megestrolacetate,vemurafenib,-0.3769
thioguanine,megestrolacetate,-0.5331
mercaptopurine,gefitinib,-0.0736
thioguanine,dacarbazine,-0.4724
mitoxantrone,vismodegib,-0.3864
docetaxel,nilotinib,-0.1705
docetaxel,pazopanib,-0.4122
vorinostat,dexrazoxane,-0.123
decitabine,floxuridine,-0.1056
docetaxel,imatinib,-0.3019
vorinostat,floxuridine,-0.1917
celecoxib,mitoxantrone,-0.3396
anastrozole,vemurafenib,-0.4231
lapatinib,cytarabine,-0.1979
docetaxel,ruxolitinib,-0.3709
hydroxyurea,floxuridine,-0.1439
decitabine,chlorambucil,-0.1438
decitabine,teniposide,-0.1773
dacarbazine,dexrazoxane,-0.1165
cyclophosphamide,dexrazoxane,-0.2306
megestrolacetate,vinorelbine,-0.3513
azacitidine,mitoxantrone,-0.2892
sunitinib,floxuridine,-0.1767
mepacrine,dasatinib,-0.288
clofarabine,abiraterone,-0.153
dexrazoxane,vismodegib,-0.1907
sirolimus,megestrolacetate,-0.1336
thiotepa,mitoxantrone,-0.2767
tamoxifen,mitoxantrone,-0.4252
topotecan,temozolomide,-0.2693
allopurinol,floxuridine,-0.2318
bortezomib,erlotinib,-0.5169
decitabine,etoposide,-0.1358
sirolimus,crizotinib,-0.2263
docetaxel,thiotepa,-0.2882
thalidomide,dexrazoxane,-0.264
sirolimus,dacarbazine,-0.125
celecoxib,dexrazoxane,-0.1683
fulvestrant,floxuridine,-0.2567
clofarabine,vandetanib,-0.1603
lapatinib,mitoxantrone,-0.4514
valrubicin,fludarabine,-0.3645
mercaptopurine,thiotepa,-0.1729
chlorambucil,lenalidomide,-0.4979
vinorelbine,ruxolitinib,-0.5845
allopurinol,mercaptopurine,-0.2034
dacarbazine,daunorubicin,-0.0827
mepacrine,aminolevulinicacid,-0.265
mercaptopurine,raloxifene,-0.0179
bendamustine,teniposide,-0.2247
nelarabine,mitoxantrone,-0.3151
docetaxel,clofarabine,-0.3144
capecitabine,dexrazoxane,-0.2401
sorafenib,vandetanib,-0.1828
topotecan,thalidomide,0.0051
docetaxel,letrozole,-0.0137
mercaptopurine,lapatinib,-0.2991
daunorubicin,vandetanib,-0.2624
mitotane,gefitinib,-0.2872
pralatrexate,sirolimus,-0.667
topotecan,abiraterone,-0.1718
mepacrine,temozolomide,-0.2039
topotecan,vismodegib,-0.1262
azacitidine,thiotepa,-0.2119
allopurinol,dexrazoxane,-0.2315
dactinomycin,chlorambucil,-0.1678
decitabine,lenalidomide,-0.1617
azacitidine,anastrozole,-0.2041
thalidomide,cladribine,-0.1267
decitabine,dacarbazine,-0.1465
busulfan,azacitidine,-0.2503
erlotinib,chlorambucil,-0.0985
decitabine,vismodegib,-0.119
gemcitabine,bendamustine,-0.4171
sunitinib,etoposide,-0.1532
imatinib,cladribine,-0.154
fludarabine,cladribine,-0.1468
topotecan,pazopanib,-0.1498
tamoxifen,daunorubicin,-0.2006
gefitinib,pazopanib,-0.3284
pralatrexate,anastrozole,-0.0505
vorinostat,lenalidomide,-0.0965
pralatrexate,vandetanib,-0.1223
decitabine,thiotepa,-0.0241
decitabine,thalidomide,-0.0252
decitabine,axitinib,-0.1473
decitabine,allopurinol,-0.0482
methoxsalen,vorinostat,-0.1173
decitabine,ruxolitinib,-0.1558
mitotane,dasatinib,-0.0917
decitabine,raloxifene,-0.1174
decitabine,doxorubicin,-0.1058
mitotane,sirolimus,0.0401
lenalidomide,crizotinib,-0.0499
cladribine,vismodegib,-0.0707
decitabine,cyclophosphamide,-0.0314
dasatinib,axitinib,-0.1992
decitabine,altretamine,-0.1951
dactinomycin,abiraterone,-0.2336
thalidomide,abiraterone,-0.0372
vorinostat,axitinib,-0.0764
decitabine,sorafenib,-0.1076
crizotinib,lenalidomide,-0.0311
hydroxyurea,vandetanib,-0.0555
dacarbazine,crizotinib,-0.009
decitabine,imiquimod,-0.0293
abiraterone,vismodegib,-0.0549
decitabine,clofarabine,-0.0033
fulvestrant,abiraterone,-0.0832
streptozocin,abiraterone,0.0542
thiotepa,dacarbazine,-0.052
dasatinib,raloxifene,-0.1427
decitabine,fulvestrant,-0.1532
decitabine,imatinib,-0.0657
sunitinib,abiraterone,-0.0539
methoxsalen,aminolevulinicacid,0.0114
lapatinib,tamoxifen,-0.0763
methoxsalen,tamoxifen,0.0073
abiraterone,vandetanib,-0.0552
vorinostat,temozolomide,0.0013
dactinomycin,crizotinib,-0.2048
sunitinib,lenalidomide,-0.0232
busulfan,sunitinib,0.0004
fulvestrant,vandetanib,-0.0726
cyclophosphamide,sunitinib,-0.0826
sunitinib,crizotinib,-0.0263
methoxsalen,busulfan,-0.0213
allopurinol,doxorubicin,0.0131
cladribine,ruxolitinib,-0.0858
anastrozole,abiraterone,-0.1105
erlotinib,decitabine,-0.1259
dacarbazine,megestrolacetate,0.0402
aminolevulinicacid,vinblastine,-0.0774
tamoxifen,letrozole,0.0305
aminolevulinicacid,megestrolacetate,0.0542
methoxsalen,lapatinib,0.0287
axitinib,vismodegib,-0.0396
imiquimod,crizotinib,-0.0158
tamoxifen,dacarbazine,-0.0097
procarbazine,lenalidomide,-0.0281
procarbazine,abiraterone,0.0311
azacitidine,megestrolacetate,-0.0701
hydroxyurea,imatinib,0.0168
letrozole,dacarbazine,-0.0029
chlorambucil,doxorubicin,0.0053
bendamustine,megestrolacetate,0.0074
erlotinib,vismodegib,-0.0754
imiquimod,dacarbazine,-0.0513
streptozocin,doxorubicin,-0.0206
capecitabine,vinblastine,0.0252
capecitabine,lenalidomide,-0.1458
busulfan,megestrolacetate,-0.0469
nilotinib,vinblastine,-0.0066
celecoxib,vismodegib,-0.0473
doxorubicin,imatinib,-0.1348
procarbazine,doxorubicin,-0.0726
anastrozole,sunitinib,-0.1222
estramustinephosphatesodium,cyclophosphamide,-0.0474
vandetanib,axitinib,-0.0867
methoxsalen,clofarabine,-0.0323
cyclophosphamide,lapatinib,0.0248
anastrozole,vismodegib,-0.0607
ifosfamide,vismodegib,-0.056
estramustinephosphatesodium,lapatinib,-0.0191
estramustinephosphatesodium,bendamustine,-0.2431
thalidomide,imatinib,-0.0068
cyclophosphamide,sorafenib,-0.0797
anastrozole,vandetanib,-0.0754
estramustinephosphatesodium,busulfan,-0.0261
aminolevulinicacid,fludarabine,-0.0358
thalidomide,mitotane,-0.0273
imiquimod,hydroxyurea,-0.0566
busulfan,celecoxib,-0.0226
cyclophosphamide,bendamustine,-0.0025
temozolomide,lenalidomide,-0.104
nilotinib,hydroxyurea,0.019
allopurinol,capecitabine,-0.0274
abiraterone,raloxifene,-0.0321
mitotane,imatinib,-0.0102
thalidomide,fulvestrant,0.0089
ifosfamide,axitinib,-0.0112
ifosfamide,imatinib,-0.0336
sunitinib,axitinib,-0.0082
thalidomide,temozolomide,-0.0205
vinblastine,letrozole,-0.032
busulfan,capecitabine,-0.0462
aminolevulinicacid,letrozole,-0.0314
sorafenib,fludarabine,-0.0186
imiquimod,bendamustine,-0.051
nilotinib,bendamustine,-0.4753
mitotane,clofarabine,-0.0028
thalidomide,letrozole,-0.0365
procarbazine,anastrozole,-0.0076
anastrozole,busulfan,-0.0406
altretamine,vandetanib,-0.0857
lapatinib,vandetanib,-0.0458
mitotane,letrozole,-0.0692
cyclophosphamide,nilotinib,-0.0507
fulvestrant,fludarabine,-0.1201
fulvestrant,nelarabine,-0.3028
mitotane,pazopanib,-0.0866
capecitabine,megestrolacetate,-0.0051
anastrozole,fulvestrant,-0.0538
nelarabine,pazopanib,-0.0537
altretamine,crizotinib,-0.1146
erlotinib,ifosfamide,0.0131
imiquimod,nilotinib,0.0058
bendamustine,raloxifene,0.0105
altretamine,dacarbazine,-0.6413
paclitaxel,erlotinib,0.2521
doxorubicin,sunitinib,0.3203
paclitaxel,temozolomide,0.3837
paclitaxel,mk2206,0.2152
paclitaxel,lapatinib,0.243
topotecan,sorafenib,0.129
paclitaxel,vorinostat,0.1338
bortezomib,sorafenib,0.1977
vinorelbine,temozolomide,0.4659
paclitaxel,dasatinib,0.1474
bortezomib,dasatinib,0.2574
paclitaxel,sunitinib,0.1645
vinblastine,mk2206,0.4167
doxorubicin,temozolomide,0.4836
paclitaxel,adavosertib,0.1769
vinblastine,dasatinib,0.3089
vinorelbine,adavosertib,0.2815
vinorelbine,dasatinib,0.2232
doxorubicin,sorafenib,0.2576
vinorelbine,sunitinib,0.2467
vinblastine,lapatinib,0.4157
vinblastine,adavosertib,0.3059
doxorubicin,erlotinib,0.3245
vinorelbine,vorinostat,0.2157
paclitaxel,sorafenib,0.1083
bortezomib,topotecan,0.1702
vinorelbine,erlotinib,0.3505
doxorubicin,mk2206,0.2355
doxorubicin,vorinostat,0.1597
vinorelbine,mk2206,0.327
vinorelbine,lapatinib,0.3299
vorinostat,temozolomide,0.5692
vinblastine,vorinostat,0.2779
doxorubicin,lapatinib,0.2827
vinblastine,sorafenib,0.1382
vinblastine,erlotinib,0.3624
vinblastine,temozolomide,0.6741
vinorelbine,sorafenib,0.1449
vinblastine,sunitinib,0.2848
methotrexate,sunitinib,0.252
methotrexate,temozolomide,0.5147
doxorubicin,dasatinib,0.1352
vorinostat,sorafenib,0.2076
gemcitabine,mk2206,0.2043
gemcitabine,lapatinib,0.1344
doxorubicin,adavosertib,0.0811
methotrexate,sorafenib,0.0712
methotrexate,lapatinib,0.2527
methotrexate,vorinostat,0.224
gemcitabine,dasatinib,0.0528
paclitaxel,bortezomib,0.0718
gemcitabine,sunitinib,0.0666
gemcitabine,temozolomide,0.3088
gemcitabine,erlotinib,0.1815
gemcitabine,sorafenib,0.0182
methotrexate,erlotinib,0.3203
methotrexate,adavosertib,0.217
gemcitabine,adavosertib,0.1192
ixabepilone,methotrexate,-0.0711
ixabepilone,paclitaxel,-0.1307
fluorouracil,cabazitaxel,-0.3334
sunitinib,temozolomide,0.3078
methotrexate,mk2206,0.271
floxuridine,cabazitaxel,-0.1509
fluorouracil,pemetrexed,0.0577
ixabepilone,romidepsin,-0.073
methotrexate,dasatinib,0.1854
vorinostat,sunitinib,0.1261
sunitinib,sorafenib,-0.0329
dasatinib,sorafenib,-0.239
methotrexate,paclitaxel,0.2846
etoposide,temozolomide,0.4869
vinorelbine,bortezomib,0.0178
fluorouracil,vinorelbine,0.1218
paclitaxel,cabazitaxel,-0.2121
romidepsin,fluorouracil,-0.113
bortezomib,ixabepilone,-0.2848
etoposide,sorafenib,0.054
ixabepilone,valrubicin,-0.4708
ixabepilone,dactinomycin,-0.2411
ixabepilone,docetaxel,-0.2222
ixabepilone,mepacrine,-0.5213
fluorouracil,teniposide,0.2502
fluorouracil,dexrazoxane,-0.0063
methotrexate,cabazitaxel,-0.0519
mercaptopurine,cabazitaxel,-0.2256
vinblastine,cabazitaxel,-0.1893
fluorouracil,mitoxantrone,0.12
fluorouracil,exemestane,0.1508
ixabepilone,floxuridine,-0.3187
ixabepilone,topotecan,-0.1385
ixabepilone,mercaptopurine,-0.4594
methotrexate,fluorouracil,-0.1394
fluorouracil,temozolomide,0.3698
ixabepilone,gemcitabine,-0.2477
romidepsin,cabazitaxel,-0.0065
fluorouracil,etoposide,0.0882
lapatinib,sorafenib,-0.1074
ixabepilone,azacitidine,-0.5348
thioguanine,cabazitaxel,-0.5174
docetaxel,fluorouracil,-0.0698
ixabepilone,dasatinib,-0.4542
clofarabine,cabazitaxel,-0.4237
vinorelbine,cabazitaxel,-0.5796
cytarabine,fluorouracil,-0.0679
vinblastine,bortezomib,-0.0463
exemestane,cabazitaxel,-0.5159
ixabepilone,decitabine,-0.5438
ixabepilone,cytarabine,-0.2478
methotrexate,romidepsin,0.1034
ixabepilone,sirolimus,-0.5092
mepacrine,fluorouracil,-0.1113
ixabepilone,vorinostat,-0.5589
ixabepilone,allopurinol,-0.5931
methotrexate,docetaxel,0.0401
romidepsin,paclitaxel,-0.0708
pralatrexate,cabazitaxel,-0.3026
ixabepilone,doxorubicin,-0.5898
ixabepilone,cladribine,-0.5043
teniposide,cabazitaxel,-0.5225
floxuridine,pemetrexed,-0.0693
floxuridine,vemurafenib,-0.0765
ixabepilone,streptozocin,-0.5909
mitoxantrone,cabazitaxel,-0.5207
cytarabine,methotrexate,-0.0101
ixabepilone,fulvestrant,-0.6124
ixabepilone,sorafenib,-0.6174
dasatinib,topotecan,-0.261
ixabepilone,mitotane,-0.6508
ixabepilone,hydroxyurea,-0.6563
ixabepilone,anastrozole,-0.6239
ixabepilone,thalidomide,-0.6231
ixabepilone,letrozole,-0.6303
ixabepilone,clofarabine,-0.6451
fluorouracil,gefitinib,-0.0561
dexrazoxane,cabazitaxel,-0.5305
ixabepilone,imiquimod,-0.622
vorinostat,erlotinib,0.1222
ixabepilone,capecitabine,-0.627
topotecan,cabazitaxel,-0.306
ixabepilone,nilotinib,-0.6488
ixabepilone,lapatinib,-0.6559
ixabepilone,temozolomide,-0.6513
ixabepilone,nelarabine,-0.6406
ixabepilone,fludarabine,-0.6555
sirolimus,cabazitaxel,-0.572
ixabepilone,bendamustine,-0.6435
ixabepilone,pralatrexate,-0.6491
fluorouracil,daunorubicin,-0.0368
gemcitabine,bortezomib,-0.1259
fluorouracil,sorafenib,-0.1198
ixabepilone,sunitinib,-0.6509
decitabine,fluorouracil,-0.2702
paclitaxel,vinorelbine,-0.2447
abiraterone,cabazitaxel,-0.5536
vinorelbine,doxorubicin,-0.5772
methotrexate,azacitidine,-0.1156
floxuridine,exemestane,-0.3646
chlorambucil,fluorouracil,0.2862
ixabepilone,ifosfamide,-0.6448
decitabine,cabazitaxel,-0.6177
estramustinephosphatesodium,ixabepilone,-0.6762
ixabepilone,vinblastine,-0.6516
gefitinib,cabazitaxel,-0.6734
etoposide,cabazitaxel,-0.5565
chlorambucil,cabazitaxel,-0.5726
valrubicin,paclitaxel,-0.0046
floxuridine,methotrexate,0.035
topotecan,fluorouracil,-0.1899
methotrexate,vemurafenib,-0.1197
cladribine,cabazitaxel,-0.5597
hydroxyurea,fluorouracil,-0.396
paclitaxel,dexrazoxane,-0.1637
paclitaxel,exemestane,-0.2178
vorinostat,mk2206,-0.0239
mepacrine,paclitaxel,-0.2671
ixabepilone,methoxsalen,-0.6111
cladribine,methotrexate,-0.1089
pemetrexed,vemurafenib,-0.0856
thiotepa,cabazitaxel,-0.3467
fluorouracil,megestrolacetate,-0.3014
methotrexate,thioguanine,-0.2997
ixabepilone,cyclophosphamide,-0.5939
mepacrine,methotrexate,-0.3416
methotrexate,valrubicin,-0.353
mk2206,sorafenib,-0.237
ixabepilone,imatinib,-0.7064
fluorouracil,abiraterone,-0.4028
fulvestrant,fluorouracil,-0.4495
ixabepilone,thiotepa,-0.6504
vandetanib,cabazitaxel,-0.5807
allopurinol,cabazitaxel,-0.473
axitinib,cabazitaxel,-0.5827
fluorouracil,dacarbazine,-0.2929
paclitaxel,cytarabine,-0.1105
vinorelbine,pemetrexed,-0.181
thioguanine,pemetrexed,-0.3148
anastrozole,fluorouracil,-0.4885
vinblastine,pemetrexed,-0.1323
vemurafenib,thioguanine,-0.0322
streptozocin,fluorouracil,-0.4875
methotrexate,vinorelbine,-0.3107
docetaxel,pemetrexed,-0.1371
vemurafenib,vinorelbine,-0.1248
floxuridine,mitoxantrone,-0.1213
imatinib,cabazitaxel,-0.5815
paclitaxel,mitoxantrone,-0.1846
ixabepilone,fluorouracil,-0.3765
ixabepilone,tamoxifen,-0.7293
fluorouracil,doxorubicin,-0.4462
letrozole,fluorouracil,-0.5037
topotecan,paclitaxel,-0.1499
paclitaxel,floxuridine,0.0064
methotrexate,dactinomycin,0.0083
thioguanine,vemurafenib,-0.0693
vemurafenib,exemestane,-0.2324
topotecan,methotrexate,0.0424
pemetrexed,exemestane,0.0889
bortezomib,valrubicin,-0.3277
paclitaxel,daunorubicin,-0.1169
vinorelbine,vemurafenib,-0.1614
vemurafenib,vemurafenib,-0.0067
gemcitabine,fluorouracil,-0.4728
paclitaxel,gefitinib,-0.3278
azacitidine,paclitaxel,-0.1457
capecitabine,cabazitaxel,-0.6217
cyclophosphamide,fluorouracil,-0.4842
valrubicin,romidepsin,-0.1196
vinblastine,vemurafenib,-0.201
ifosfamide,fluorouracil,-0.5329
methotrexate,exemestane,-0.3605
vorinostat,dasatinib,-0.0566
bortezomib,romidepsin,-0.1902
busulfan,cabazitaxel,-0.3495
cabazitaxel,abiraterone,-0.7203
imiquimod,fluorouracil,-0.5377
floxuridine,gefitinib,-0.3773
erlotinib,sorafenib,-0.1314
exemestane,vemurafenib,-0.066
fluorouracil,lenalidomide,-0.4846
mitotane,fluorouracil,-0.5282
ruxolitinib,cabazitaxel,-0.6368
tamoxifen,fluorouracil,-0.5288
romidepsin,thioguanine,-0.1843
floxuridine,dexrazoxane,-0.3391
doxorubicin,bortezomib,-0.1936
romidepsin,vinorelbine,-0.2276
paclitaxel,teniposide,-0.2243
etoposide,sunitinib,-0.0087
romidepsin,exemestane,-0.2472
teniposide,pemetrexed,-0.1189
gemcitabine,methotrexate,0.2817
hydroxyurea,paclitaxel,-0.2616
lenalidomide,cabazitaxel,-0.7696
thiotepa,methotrexate,-0.234
procarbazine,cabazitaxel,-0.7278
floxuridine,teniposide,-0.2289
romidepsin,valrubicin,-0.2412
streptozocin,cabazitaxel,-0.7178
paclitaxel,etoposide,-0.2605
topotecan,romidepsin,-0.1487
methotrexate,dasatinib,-0.2044
thioguanine,exemestane,-0.0483
romidepsin,mitoxantrone,-0.2617
cytarabine,vemurafenib,-0.0921
allopurinol,paclitaxel,-0.3315
clofarabine,pemetrexed,-0.1383
cyclophosphamide,cabazitaxel,-0.3116
bortezomib,docetaxel,-0.1477
thioguanine,mitoxantrone,-0.1914
ifosfamide,paclitaxel,-0.4589
methotrexate,sirolimus,-0.2605
lapatinib,cabazitaxel,-0.6866
vinorelbine,exemestane,-0.1349
docetaxel,thioguanine,-0.1826
vinblastine,thioguanine,-0.1987
ifosfamide,cabazitaxel,-0.79
methotrexate,sunitinib,-0.2347
mepacrine,vemurafenib,-0.1366
floxuridine,etoposide,-0.2944
bortezomib,floxuridine,-0.2402
vemurafenib,mitoxantrone,-0.1014
megestrolacetate,cabazitaxel,-0.7809
docetaxel,vinorelbine,-0.2443
estramustinephosphatesodium,fluorouracil,-0.508
sirolimus,methotrexate,0.0376
vinorelbine,gefitinib,-0.1589
sorafenib,paclitaxel,-0.2708
romidepsin,dexrazoxane,-0.2553
nilotinib,cabazitaxel,-0.6909
temozolomide,cabazitaxel,-0.5542
vinblastine,exemestane,-0.1933
bendamustine,paclitaxel,-0.077
sunitinib,paclitaxel,-0.2731
