Drug1,Drug2,Loewe
thioguanine,lenalidomide_hct,-0.4525
thioguanine,vandetanib,-0.3968
topotecan,busulfan,-0.4061
mitoxantrone,raloxifene,-0.3961
dasatinib,mitoxantrone,-0.3905
floxuridine,axitinib,-0.3383
vinorelbine,crizotinib,-0.2272
methotrexate,vandetanib,-0.4007
mitoxantrone,vandetanib,-0.4884
topotecan,floxuridine,-0.2563
methotrexate,vismodegib,-0.4466
thioguanine,pazopanib,-0.3838
valrubicin,thioguanine,-0.3944
allopurinol,mitoxantrone,-0.4303
nilotinib,thioguanine,-0.4095
chlorambucil,dexrazoxane,-0.0399
methotrexate,ruxolitinib,-0.4327
thioguanine,raloxifene,-0.4421
vemurafenib_hct,mitoxantrone,-0.4857
erlotinib,mitoxantrone,-0.4829
daunorubicin,dexrazoxane,-0.1539
bendamustine,pemetrexed,-0.4811
paclitaxel,vemurafenib_hct,-0.4798
sunitinib,mitoxantrone,-0.4397
lapatinib,mitoxantrone,-0.5082
valrubicin,lapatinib,-0.5129
decitabine,mepacrine,-0.2527
topotecan,hydroxyurea,-0.4877
floxuridine,vemurafenib_hct,-0.4121
imatinib,mitoxantrone,-0.5556
decitabine,dactinomycin,-0.0765
nelarabine,mitoxantrone,-0.5033
topotecan,bendamustine,-0.4743
topotecan,clofarabine,-0.375
topotecan,pralatrexate,-0.4574
mitotane,mitoxantrone,-0.432
azacitidine,etoposide,-0.1631
mercaptopurine,dactinomycin,-0.3719
nelarabine,thioguanine,-0.44
etoposide,gefitinib,-0.3411
romidepsin,vismodegib,-0.2959
topotecan,letrozole,-0.4569
crizotinib,dexrazoxane,-0.0941
hydroxyurea,teniposide_hct,-0.3328
thalidomide_hct,valrubicin,-0.5423
topotecan,sirolimus,-0.471
paclitaxel,imatinib,-0.1771
tamoxifen,mitoxantrone,-0.4791
fludarabine,teniposide_hct,-0.2118
paclitaxel,clofarabine,0.0772
fludarabine,dexrazoxane,-0.1124
floxuridine,ruxolitinib,-0.4141
vinorelbine,axitinib,-0.3676
bortezomib,fulvestrant,-0.4743
mitotane,cladribine,-0.2027
mitoxantrone,pazopanib,-0.4766
thioguanine,ruxolitinib,-0.381
bortezomib,letrozole,-0.4406
gemcitabine_hct,exemestane,-0.3245
azacitidine,dexrazoxane,-0.1544
megestrolacetate,etoposide,-0.3628
vinorelbine,ruxolitinib,-0.4363
tamoxifen,vinorelbine,-0.399
topotecan,mitotane,-0.4224
cladribine,dexrazoxane,-0.1742
exemestane,vemurafenib_hct,-0.2811
bortezomib,anastrozole,-0.4771
sunitinib,etoposide,-0.2609
dactinomycin,thioguanine,-0.5127
paclitaxel,pazopanib,-0.5426
valrubicin,vinorelbine,-0.3042
mitotane,dexrazoxane,-0.3171
vinblastine,gefitinib,-0.2989
mercaptopurine,gefitinib,-0.1976
mercaptopurine,crizotinib,-0.0842
vinorelbine,vandetanib,-0.4142
vemurafenib_hct,exemestane,-0.3434
erlotinib,topotecan,-0.4588
letrozole,etoposide,-0.3495
erlotinib,dexrazoxane,-0.3094
lapatinib,paclitaxel,-0.3859
azacitidine,fludarabine,-0.2096
capecitabine,etoposide,-0.3237
erlotinib,teniposide_hct,-0.3569
chlorambucil,crizotinib,-0.0957
fulvestrant,dexrazoxane,-0.278
docetaxel,pazopanib,-0.3664
imatinib,dexrazoxane,-0.3206
cyclophosphamide,dactinomycin,-0.1929
ifosfamide,dexrazoxane,-0.3016
valrubicin,exemestane,-0.2794
docetaxel,thiotepa,-0.0903
decitabine,dacarbazine,-0.2545
mitotane,dactinomycin,-0.1632
mepacrine,vismodegib,-0.3483
fulvestrant,dactinomycin,-0.289
lapatinib,dactinomycin,-0.1319
dexrazoxane,ruxolitinib,-0.282
dexrazoxane,pazopanib,-0.2874
decitabine,abiraterone,-0.2589
dactinomycin,dexrazoxane,-0.4273
sorafenib,megestrolacetate,-0.2645
thalidomide_hct,daunorubicin,-0.3183
bendamustine,vinorelbine,-0.323
imiquimod_hct,mercaptopurine,-0.4282
decitabine,vandetanib,-0.2275
bendamustine,dexrazoxane,-0.334
decitabine,docetaxel,-0.0895
dexrazoxane,raloxifene,-0.3047
docetaxel,vismodegib,-0.4559
gemcitabine_hct,daunorubicin,-0.1888
estramustinephosphatesodium,floxuridine,-0.2553
exemestane,raloxifene,-0.3236
pralatrexate,clofarabine,-0.7092
decitabine,vemurafenib_hct,-0.2394
doxorubicin,thiotepa,-0.2823
decitabine,bendamustine,-0.1053
decitabine,aminolevulinicacid,-0.1973
decitabine,allopurinol,-0.1619
decitabine,cyclophosphamide,-0.2251
sirolimus,vandetanib,-0.2243
decitabine,procarbazine,-0.2392
clofarabine,tamoxifen,-0.055
pralatrexate,raloxifene,-0.0337
decitabine,hydroxyurea,-0.1337
cladribine,crizotinib,-0.0729
lenalidomide_hct,crizotinib,-0.0336
pralatrexate,dacarbazine,0.0346
busulfan,altretamine,-0.0845
streptozocin,busulfan,-0.0408
clofarabine,anastrozole,-0.0614
decitabine,capecitabine,-0.1669
azacitidine,vismodegib,-0.1539
busulfan,vismodegib,-0.0671
doxorubicin,clofarabine,-0.2147
pralatrexate,tamoxifen,-0.7808
megestrolacetate,crizotinib,-0.0875
celecoxib,gefitinib,-0.0186
azacitidine,ruxolitinib,-0.18
crizotinib,abiraterone,-0.1351
gemcitabine_hct,crizotinib,-0.0543
bortezomib,gefitinib,-0.0298
azacitidine,raloxifene,-0.1776
busulfan,aminolevulinicacid,-0.1799
methoxsalen,crizotinib,-0.1388
dacarbazine,crizotinib,0.0035
busulfan,temozolomide_hct,-0.1463
nilotinib,crizotinib,-0.1134
cyclophosphamide,gefitinib,-0.0762
busulfan,hydroxyurea,-0.1395
estramustinephosphatesodium,aminolevulinicacid,-0.0767
dasatinib,axitinib,-0.0158
busulfan,letrozole,-0.1742
fludarabine,abiraterone,0.0719
busulfan,vemurafenib_hct,-0.1392
letrozole,gefitinib,-0.117
doxorubicin,sirolimus,-0.186
capecitabine,gefitinib,-0.1339
estramustinephosphatesodium,altretamine,0.0285
cyclophosphamide,axitinib,0.0232
gefitinib,vemurafenib_hct,-0.1175
capecitabine,crizotinib,-0.0813
celecoxib,dacarbazine,-0.1506
estramustinephosphatesodium,sunitinib,-0.0325
abiraterone,axitinib,-0.0728
mitotane,dasatinib,0.0387
dasatinib,abiraterone,-0.0224
sunitinib,fludarabine,-0.0488
valrubicin,axitinib,-0.1274
docetaxel,celecoxib,-0.1407
streptozocin,dasatinib,-0.0201
bendamustine,abiraterone,-0.0183
fulvestrant,sirolimus,-0.0313
thalidomide_hct,axitinib,-0.1164
cyclophosphamide,sirolimus,-0.0711
cyclophosphamide,lenalidomide_hct,0.0511
mitotane,abiraterone,-0.1554
mitotane,tamoxifen,-0.0238
celecoxib,altretamine,-0.0966
cyclophosphamide,dacarbazine,0.0098
allopurinol,dacarbazine,-0.0122
estramustinephosphatesodium,temozolomide_hct,-0.11
tamoxifen,axitinib,-0.0663
bortezomib,lenalidomide_hct,-0.0237
doxorubicin,lapatinib,-0.2579
gemcitabine_hct,abiraterone,-0.0564
cyclophosphamide,aminolevulinicacid,0.0342
dasatinib,temozolomide_hct,-0.0186
fulvestrant,dacarbazine,-0.0475
megestrolacetate,doxorubicin,0.0049
cyclophosphamide,abiraterone,-0.0542
lenalidomide_hct,abiraterone,-0.0216
allopurinol,abiraterone,-0.0199
estramustinephosphatesodium,vemurafenib_hct,0.0612
procarbazine,vismodegib,0.0513
dasatinib,celecoxib,-0.0268
allopurinol,dasatinib,-0.1428
fludarabine,letrozole,0.0222
dasatinib,imatinib,-0.0253
bortezomib,megestrolacetate,-0.0686
axitinib,vandetanib,-0.0893
estramustinephosphatesodium,celecoxib,-0.1732
streptozocin,pazopanib,0.1261
vinblastine,dasatinib,-0.0205
capecitabine,fludarabine,-0.0317
ixabepilone,vismodegib,-0.0546
streptozocin,sorafenib,-0.0341
imiquimod_hct,abiraterone,-0.0327
lenalidomide_hct,pazopanib,0.0158
doxorubicin,letrozole,-0.2891
erlotinib,dacarbazine,-0.0786
mitotane,vismodegib,-0.1231
procarbazine,temozolomide_hct,0.0433
doxorubicin,celecoxib,-0.3193
mitotane,temozolomide_hct,0.0128
erlotinib,sunitinib,0.0258
abiraterone,vismodegib,-0.0791
dactinomycin,abiraterone,-0.4004
nilotinib,lenalidomide_hct,-0.0588
megestrolacetate,vismodegib,-0.0228
imiquimod_hct,procarbazine,0.0779
ixabepilone,altretamine,-0.0151
temozolomide_hct,abiraterone,-0.0294
streptozocin,altretamine,0.0512
fulvestrant,vemurafenib_hct,-0.0171
vemurafenib_hct,abiraterone,-0.0315
procarbazine,megestrolacetate,0.0235
gemcitabine_hct,pazopanib,-0.0279
anastrozole,abiraterone,-0.0726
streptozocin,pralatrexate,0.0104
hydroxyurea,vemurafenib_hct,-0.0437
temozolomide_hct,lenalidomide_hct,-0.0777
mitotane,raloxifene,-0.1249
nilotinib,mitotane,-0.0278
tamoxifen,vismodegib,0.0041
tamoxifen,letrozole,-0.0267
sunitinib,vandetanib,-0.0135
letrozole,megestrolacetate,-0.0868
anastrozole,lenalidomide_hct,-0.048
allopurinol,ruxolitinib,-0.0092
nelarabine,mitotane,-0.0617
methoxsalen,bendamustine,-0.0088
erlotinib,hydroxyurea,-0.0106
altretamine,vismodegib,-0.0505
methoxsalen,nelarabine,0.0155
vinblastine,lapatinib,-0.0666
bendamustine,megestrolacetate,-0.0495
pazopanib,vandetanib,-0.0927
erlotinib,altretamine,-0.0214
ifosfamide,methoxsalen,-0.01
vandetanib,pazopanib,-0.0823
erlotinib,anastrozole,-0.0705
allopurinol,nelarabine,-0.0912
imatinib,ruxolitinib,-0.0035
ifosfamide,anastrozole,0.0164
hydroxyurea,raloxifene,0.0142
vinblastine,imatinib,-0.0548
nilotinib,vinblastine,-0.0271
bendamustine,altretamine,0.0244
lapatinib,ruxolitinib,-0.0075
dactinomycin,vemurafenib_hct,-0.4888
imiquimod_hct,letrozole,-0.1089
capecitabine,nelarabine,0.0496
imiquimod_hct,celecoxib,-0.0632
methotrexate,temozolomide_hct,0.2854
methotrexate,mk2206_hct,0.2046
methotrexate,erlotinib,0.1966
methotrexate,sunitinib,0.1914
methotrexate,veliparib,0.2722
methotrexate,sorafenib,0.153
methotrexate,adavosertib,0.2032
methotrexate,lapatinib,0.2228
methotrexate,vorinostat,0.1906
methotrexate,dasatinib,0.2857
paclitaxel,dasatinib,0.369
gemcitabine_hct,sorafenib,0.1367
gemcitabine_hct,mk2206_hct,0.1515
gemcitabine_hct,veliparib,0.2185
gemcitabine_hct,geldanamycin_hct,0.189
doxorubicin,veliparib,0.369
methotrexate,geldanamycin_hct,0.2227
gemcitabine_hct,dactolisib,0.1094
gemcitabine_hct,lapatinib,0.2382
gemcitabine_hct,temozolomide_hct,0.2207
gemcitabine_hct,dasatinib,0.1164
bortezomib,geldanamycin_hct,0.3372
paclitaxel,erlotinib,0.3949
doxorubicin,sunitinib,0.2312
gemcitabine_hct,erlotinib,0.1642
gemcitabine_hct,sunitinib,0.113
bortezomib,sorafenib,0.2665
methotrexate,dactolisib,0.2308
doxorubicin,sorafenib,0.2415
doxorubicin,mk2206_hct,0.3176
paclitaxel,lapatinib,0.3373
vinorelbine,lapatinib,0.3648
doxorubicin,temozolomide_hct,0.3911
doxorubicin,lapatinib,0.3047
doxorubicin,vorinostat,0.2045
vinorelbine,erlotinib,0.293
doxorubicin,erlotinib,0.2896
bortezomib,dactolisib,0.3358
paclitaxel,adavosertib,0.3472
paclitaxel,mk2206_hct,0.3583
gemcitabine_hct,adavosertib,0.1369
vinblastine,erlotinib,0.503
vinorelbine,temozolomide_hct,0.4375
vinorelbine,adavosertib,0.3168
bortezomib,veliparib,0.499
vinblastine,sorafenib,0.2978
vinorelbine,dactolisib,0.2681
vinblastine,dasatinib,0.7618
doxorubicin,adavosertib,0.2548
paclitaxel,dactolisib,0.3159
paclitaxel,sorafenib,0.1689
vinblastine,veliparib,0.7856
vinorelbine,vorinostat,0.2203
bortezomib,dasatinib,0.5483
paclitaxel,geldanamycin_hct,0.2728
bortezomib,topotecan,0.2813
vinblastine,mk2206_hct,0.7447
vinblastine,sunitinib,0.4089
paclitaxel,vorinostat,0.2298
vinorelbine,mk2206_hct,0.3567
paclitaxel,sunitinib,0.1436
vinblastine,adavosertib,0.5777
vinorelbine,dasatinib,0.4219
gemcitabine_hct,bortezomib,0.0381
vinorelbine,geldanamycin_hct,0.2247
paclitaxel,temozolomide_hct,0.441
doxorubicin,geldanamycin_hct,0.1913
doxorubicin,dasatinib,0.2906
vinorelbine,sorafenib,0.1372
vinorelbine,sunitinib,0.1405
vorinostat,temozolomide_hct,0.6076
vorinostat,sorafenib,0.2631
paclitaxel,veliparib,0.4322
dactolisib,sorafenib,0.2645
vinblastine,temozolomide_hct,0.9067
sunitinib,sorafenib,0.1702
vinorelbine,veliparib,0.3768
sunitinib,temozolomide_hct,0.4916
vinblastine,geldanamycin_hct,0.4564
topotecan,sorafenib,0.0714
ixabepilone,methotrexate,-0.085
methotrexate,bortezomib,0.0457
geldanamycin_hct,sorafenib,0.2177
doxorubicin,dactolisib,0.1268
ixabepilone,topotecan,-0.1151
etoposide,sorafenib,0.1319
topotecan,methotrexate,-0.1062
bortezomib,ixabepilone,-0.1471
valrubicin,cytarabine,-0.1117
methotrexate,fluorouracil,-0.1689
fluorouracil,temozolomide_hct,0.6147
fluorouracil,pemetrexed,-0.1566
bortezomib,methotrexate,-0.2327
ixabepilone,azacitidine,-0.392
vorinostat,sunitinib,0.1188
paclitaxel,fluorouracil,-0.0839
ixabepilone,cladribine,-0.2909
ixabepilone,gemcitabine_hct,-0.1094
methotrexate,dactinomycin,-0.194
mercaptopurine,methotrexate,-0.376
gemcitabine_hct,methotrexate,0.0305
etoposide,temozolomide_hct,0.5047
vinblastine,dactolisib,0.2931
ixabepilone,mepacrine,-0.4326
floxuridine,cabazitaxel,-0.1767
paclitaxel,bortezomib,0.0154
clofarabine,pemetrexed,0.0309
thioguanine,cabazitaxel,-0.3553
vorinostat,veliparib,0.3784
ixabepilone,romidepsin,-0.0564
cytarabine,cabazitaxel,-0.1837
ixabepilone,decitabine,-0.4873
mercaptopurine,cabazitaxel,-0.1764
mepacrine,methotrexate,-0.3944
ixabepilone,vorinostat,-0.4369
ixabepilone,dactinomycin,-0.2997
floxuridine,methotrexate,-0.2431
topotecan,fluorouracil,-0.0729
teniposide_hct,cabazitaxel,-0.3573
fluorouracil,daunorubicin,-0.1231
methotrexate,romidepsin,0.1343
valrubicin,romidepsin,-0.1401
paclitaxel,pemetrexed,-0.0943
thiotepa,methotrexate,-0.3489
ixabepilone,mercaptopurine,-0.3929
etoposide,cabazitaxel,-0.411
chlorambucil,fluorouracil,-0.2139
estramustinephosphatesodium,ixabepilone,-0.5424
methotrexate,thioguanine,-0.1814
topotecan,cabazitaxel,-0.1586
ixabepilone,floxuridine,-0.3583
mepacrine,cabazitaxel,-0.3013
ixabepilone,thiotepa,-0.5871
methotrexate,paclitaxel,-0.1179
mitoxantrone,pemetrexed,-0.0344
thiotepa,cabazitaxel,-0.2113
fluorouracil,exemestane,-0.0825
vinorelbine,bortezomib,-0.0235
clofarabine,mitoxantrone,0.0031
romidepsin,pemetrexed,-0.1762
floxuridine,pemetrexed,-0.0851
ixabepilone,doxorubicin,-0.5532
topotecan,valrubicin,-0.2333
sirolimus,methotrexate,-0.255
romidepsin,valrubicin,-0.0913
vinorelbine,cabazitaxel,-0.4706
decitabine,fluorouracil,-0.0309
fluorouracil,sorafenib,0.0867
methotrexate,vorinostat,-0.375
clofarabine,thioguanine,-0.0798
busulfan,methotrexate,-0.4614
ixabepilone,clofarabine,-0.4729
vinorelbine,pemetrexed,-0.156
exemestane,cabazitaxel,-0.4959
mepacrine,valrubicin,-0.0807
mercaptopurine,valrubicin,-0.1376
daunorubicin,cabazitaxel,-0.3609
methotrexate,vinorelbine,-0.184
decitabine,methotrexate,-0.4302
ixabepilone,docetaxel,-0.6448
methotrexate,docetaxel,-0.5129
ixabepilone,fludarabine,-0.6155
decitabine,cabazitaxel,-0.4947
sunitinib,veliparib,0.2399
ixabepilone,mitotane,-0.6492
tamoxifen,methotrexate,-0.5128
erlotinib,ixabepilone,-0.5841
thioguanine,mitoxantrone,-0.1563
ixabepilone,streptozocin,-0.6589
teniposide_hct,pemetrexed,-0.1035
methotrexate,pralatrexate,-0.3762
methotrexate,anastrozole,-0.5598
methotrexate,sorafenib,-0.4771
imatinib,methotrexate,-0.5127
ixabepilone,methoxsalen,-0.6377
paclitaxel,thioguanine,-0.1676
ixabepilone,temozolomide_hct,-0.6365
etoposide,pemetrexed,-0.2277
cytarabine,pemetrexed,-0.0317
ixabepilone,sorafenib,-0.6428
methotrexate,dasatinib,-0.4948
etoposide,veliparib,0.2877
vinblastine,pemetrexed,-0.0308
methotrexate,bendamustine,-0.5406
methotrexate,hydroxyurea,-0.5609
aminolevulinicacid,methotrexate,-0.5462
